Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI
19.0,Female,76.4,1.79,189.0,132.0,57.0,1.41,1414.0,HIIT,33.3,3.5,3.0,2.0,23.844449299335228
39.0,Male,78.5,1.59,197.0,153.0,71.0,1.88,1009.0,Yoga,26.0,3.7,5.0,1.0,31.05098690716348
18.0,nan,72.1,1.79,194.0,169.0,71.0,1.89,716.0,\nStrength,16.7,3.2,2.0,2.0,22.502418775943323
26.0,Male,61.0,1.97,172.0,140.0,74.0,1.99,1298.0,Cardio,21.8,2.6,3.0,2.0,15.718003555876214
20.0,Female,82.6,1.6,174.0,149.0,63.0,2.0,775.0,HIIT,22.9,3.3,2.0,2.0,32.26562499999999
34.0,Male,91.2,1.5,193.0,165.0,61.0,1.13,905.0,Strength,24.0,3.4,4.0,1.0,40.53333333333333
18.0,Male,64.2,1.61,167.0,147.0,65.0,1.17,1783.0,Cardio,25.9,2.1,3.0,2.0,24.767562979823307
23.0,Male,46.7,1.65,164.0,159.0,68.0,1.81,1563.0,Yoga,15.8,2.5,4.0,2.0,17.153351698806247
28.0,Female,74.2,1.5,191.0,129.0,72.0,1.77,848.0,Strength,17.3,1.5,3.0,2.0,32.97777777777778
18.0,Female,64.0,1.51,176.0,129.0,74.0,1.18,992.0,Strength,26.7,3.4,5.0,3.0,28.06894434454629
32.0,Male,52.8,1.61,169.0,169.0,70.0,0.88,1375.0,Strength,24.2,2.7,5.0,1.0,20.36958450677057
26.0,Male,65.3,1.77,164.0,147.0,56.0,1.2,1091.0,Yoga,30.8,1.6,3.0,3.0,21.49
47.0,Male,40.0,1.73,170.0,160.0,66.0,1.27,1249.0,Cardio,22.8,3.6,2.0,1.0,13.364963747535834
26.0,Female,85.8,1.87,188.0,162.0,58.0,1.33,938.0,HIIT,24.3,2.8,4.0,2.0,24.536017615602383
19.0,Male,40.0,1.59,187.0,152.0,73.0,1.52,948.0,Yoga,27.1,1.6,3.0,2.0,15.822158933586486
26.0,Female,86.6,1.73,192.0,120.0,59.0,1.75,1102.0,HIIT,19.0,1.8,3.0,1.0,28.93514651341508
39.0,Male,70.7,1.58,189.0,163.0,66.0,1.69,1146.0,Yoga,21.9,3.2,3.0,1.0,28.3207819259734
37.0,Female,40.0,1.59,190.0,161.0,70.0,1.16,670.0,nan,24.5,3.3,4.0,2.0,15.822158933586486
19.0,Female,66.7,1.73,172.0,146.0,71.0,1.18,589.0,HIIT,24.9,1.8,3.0,1.0,22.286077049016004
39.0,Female,72.1,1.52,172.0,151.0,65.0,1.09,1093.0,HIIT,28.2,2.7,2.0,1.0,31.20671745152354
53.0,Male,80.5,1.64,173.0,120.0,60.0,1.26,735.0,Yoga,26.3,2.8,4.0,2.0,29.9301011302796
41.0,Male,77.0,1.5,190.0,146.0,56.0,1.3,1067.0,Strength,27.5,3.3,4.0,2.0,34.22222222222222
23.0,Male,117.8,1.88,168.0,167.0,55.0,1.35,1259.0,Strength,32.3,1.6,3.0,2.0,33.329560887279314
31.0,Female,76.2,1.64,169.0,137.0,72.0,0.74,1207.0,Strength,23.3,2.7,3.0,3.0,28.331350386674604
50.0,Female,57.3,1.72,197.0,133.0,56.0,2.0,950.0,Yoga,11.1,3.2,2.0,3.0,19.36857760951866
22.0,Female,103.1,1.72,168.0,166.0,59.0,1.07,978.0,HIIT,23.1,1.9,2.0,2.0,34.84991887506761
29.0,Female,77.4,1.69,179.0,132.0,74.0,1.11,712.0,Yoga,27.0,3.5,2.0,3.0,27.099891460383045
18.0,Male,84.1,1.78,194.0,145.0,64.0,2.0,686.0,Cardio,30.3,3.3,3.0,3.0,26.54336573664941
29.0,Male,40.0,1.86,180.0,169.0,63.0,1.26,986.0,Yoga,25.3,1.5,3.0,1.0,11.562030292519363
42.0,Male,66.0,1.6,196.0,159.0,52.0,1.93,1042.0,Strength,16.4,3.5,4.0,2.0,25.78125
51.0,Female,84.6,1.77,197.0,141.0,55.0,1.44,543.0,HIIT,23.4,2.9,5.0,3.0,27.00373455903476
51.0,Male,100.7,1.75,185.0,138.0,73.0,1.5,703.0,Strength,25.5,1.8,4.0,3.0,32.881632653061224
22.0,Male,58.6,2.0,165.0,169.0,57.0,2.0,1402.0,Strength,30.0,3.5,4.0,2.0,14.65
21.0,Female,57.4,1.74,179.0,161.0,73.0,2.0,457.0,HIIT,27.7,2.5,3.0,1.0,18.95891134892324
21.0,Male,69.5,1.54,167.0,158.0,72.0,1.28,1044.0,Yoga,27.9,2.9,2.0,2.0,29.30511047394164
26.0,Female,42.2,1.91,174.0,127.0,72.0,1.65,455.0,Strength,23.6,2.9,3.0,2.0,11.56766536005044
18.0,Male,61.3,1.6,191.0,135.0,67.0,1.09,609.0,nan,13.7,1.6,2.0,3.0,23.945312499999996
18.0,Male,66.6,1.62,192.0,156.0,58.0,1.3,1250.0,Cardio,21.3,3.2,5.0,1.0,25.37722908093278
37.0,Female,94.4,1.7,193.0,127.0,70.0,1.27,1183.0,HIIT,16.4,3.4,4.0,1.0,32.6643598615917
45.0,Male,111.9,1.73,177.0,129.0,54.0,0.92,1267.0,Strength,18.3,2.6,4.0,1.0,37.3884860837315
18.0,Female,92.0,1.79,199.0,169.0,56.0,1.77,1105.0,Strength,14.4,2.8,2.0,1.0,28.71321119815237
18.0,Female,65.3,1.76,176.0,167.0,58.0,1.21,912.0,Strength,28.4,3.6,2.0,2.0,21.080836776859503
51.0,Male,61.1,1.82,165.0,163.0,57.0,1.19,1171.0,Yoga,31.7,2.5,4.0,3.0,18.445839874411305
18.0,Female,96.0,1.82,198.0,144.0,58.0,1.19,323.0,Yoga,23.8,1.8,3.0,1.0,28.982007003985025
27.0,Female,89.7,1.67,172.0,130.0,64.0,1.46,729.0,Yoga,27.7,3.4,4.0,2.0,32.16321847323318
34.0,Female,61.0,1.69,190.0,159.0,63.0,0.99,1040.0,Cardio,23.6,3.6,5.0,3.0,21.35779559539232
31.0,Female,75.6,1.57,163.0,152.0,71.0,0.96,668.0,\tYoga,25.8,2.3,4.0,1.0,30.67061544078867
23.0,Female,40.0,1.76,181.0,143.0,71.0,1.08,1442.0,Yoga,25.7,3.3,5.0,3.0,12.32
54.0,nan,46.8,1.67,181.0,169.0,74.0,1.48,1030.0,Strength,25.5,1.5,4.0,1.0,16.780809638208613
19.0,Female,90.6,1.85,187.0,131.0,68.0,1.67,607.0,HIIT,27.5,3.3,2.0,2.0,26.47187728268809
47.0,Female,90.8,1.67,186.0,120.0,74.0,1.43,506.0,Strength,32.0,2.7,3.0,3.0,32.557639212592775
33.0,Female,121.13749999999999,1.69,168.0,152.0,74.0,1.61,810.0,Strength,27.5,3.5,3.0,2.0,42.413605966177656
50.0,Female,69.3,1.73,162.0,126.0,62.0,1.33,1138.0,Strength,25.6,1.5,3.0,1.0,22.79
19.0,Female,40.0,1.77,179.0,139.0,74.0,1.22,1173.0,Yoga,27.7,1.6,3.0,3.0,12.767723195761114
27.0,Male,112.6,1.79,174.0,167.0,60.0,0.69,1282.0,Strength,28.6,1.5,2.0,1.0,35.14247370556475
49.0,Male,54.2,1.64,182.0,147.0,64.0,0.95,914.0,nan,19.0,3.2,2.0,2.0,20.151695419393224
46.0,Male,108.9,1.86,162.0,165.0,74.0,1.42,936.0,Strength,22.2,1.9,4.0,2.0,31.47762747138397
37.0,nan,69.4,1.61,173.0,169.0,66.0,1.09,948.0,Strength,28.3,1.5,2.0,1.0,26.773658423671925
52.0,Male,40.0,1.6,194.0,146.0,73.0,1.48,1156.0,Yoga,23.4,2.3,4.0,2.0,15.624999999999996
26.0,Male,43.2,1.8,185.0,149.0,52.0,1.87,1019.0,Cardio,23.5,2.1,4.0,2.0,13.333333333333334
45.0,nan,68.7,1.7,179.0,126.0,74.0,1.05,1161.0,Cardio,22.9,3.1,4.0,3.0,24.13
18.0,Female,61.1,1.74,191.0,159.0,69.0,1.36,1311.0,HIIT,15.6,3.4,2.0,2.0,20.18100145329634
38.0,Male,85.5,1.77,175.0,156.0,50.0,1.13,766.0,HIIT,14.6,3.4,2.0,1.0,27.291008330939384
18.0,Female,50.1,1.8,174.0,125.0,50.0,1.38,1185.0,HIIT,30.8,3.4,3.0,2.0,15.462962962962962
45.0,Male,121.13749999999999,1.75,197.0,154.0,73.0,1.97,757.0,Cardio,23.5,2.4,5.0,1.0,39.55510204081632
47.0,Female,93.3,1.73,184.0,123.0,62.0,1.45,998.0,Yoga,15.1,1.7,4.0,2.0,31.173777941127334
45.0,Female,73.7,1.7,190.0,167.0,67.0,1.11,1100.0,Yoga,29.1,1.8,2.0,1.0,25.50173010380623
55.0,Female,69.4,1.56,175.0,134.0,70.0,1.48,734.0,Yoga,16.8,2.8,4.0,2.0,28.51742274819198
18.0,Male,86.1,2.0,180.0,158.0,72.0,1.27,1173.0,HIIT,19.7,3.5,2.0,3.0,21.525
20.0,Female,65.3,1.5,198.0,128.0,50.0,0.97,906.0,Cardio,31.2,3.4,2.0,1.0,29.022222222222226
18.0,Female,40.0,1.77,189.0,137.0,74.0,0.6,829.0,Cardio,24.7,2.6,4.0,1.0,12.767723195761114
46.0,Female,40.8,1.71,191.0,162.0,52.0,0.93,903.0,Yoga,14.2,1.9,2.0,2.0,13.953011182928082
43.0,Male,56.4,1.8,174.0,161.0,74.0,1.03,327.0,Strength,10.0,3.2,3.0,1.0,17.407407407407405
45.0,Female,60.7,1.63,170.0,139.0,74.0,1.18,1356.0,\tCardio,10.0,3.3,3.0,3.0,22.84617411268772
43.0,Female,40.0,1.69,187.0,162.0,66.0,0.9,886.0,Strength,28.0,2.2,2.0,1.0,14.00511186583103
29.0,Female,84.4,1.67,184.0,160.0,74.0,1.28,1475.0,Yoga,10.0,2.1,5.0,2.0,30.2628276381369
18.0,Female,67.5,1.71,185.0,166.0,58.0,1.81,1162.0,Cardio,10.6,3.5,3.0,2.0,23.08402585410896
21.0,Female,62.1,1.68,173.0,158.0,71.0,1.23,1186.0,Yoga,26.4,3.5,4.0,1.0,22.002551020408166
41.0,Male,83.7,1.92,161.0,163.0,59.0,1.37,1308.0,Cardio,21.4,1.5,2.0,2.0,22.705078125
26.0,Female,80.6,1.86,195.0,127.0,53.0,2.0,564.0,Strength,23.1,1.5,3.0,2.0,23.29749103942652
33.0,Male,60.8,1.78,189.0,147.0,73.0,1.04,951.0,Cardio,27.3,3.3,4.0,2.0,18.69
18.0,Male,44.8,1.81,164.0,146.0,57.0,1.2,742.0,HIIT,23.5,3.3,4.0,3.0,13.67479625164067
21.0,Male,62.3,1.91,198.0,141.0,51.0,1.47,1394.0,Yoga,22.7,1.8,3.0,2.0,17.4
49.0,Female,97.4,1.67,171.0,132.0,72.0,1.97,1091.0,Cardio,30.4,3.6,3.0,1.0,34.92416364875041
19.0,Male,51.4,1.78,167.0,154.0,70.0,2.0,1218.0,Yoga,29.8,2.1,3.0,2.0,16.222699154147204
31.0,Male,79.1,1.74,192.0,167.0,74.0,0.93,1157.0,Cardio,18.7,1.9,2.0,3.0,26.12630466376007
43.0,Male,57.5,2.0,172.0,126.0,64.0,1.4,735.0,Cardio,16.9,2.1,3.0,1.0,14.375
43.0,Female,70.6,1.71,193.0,148.0,54.0,1.28,725.0,Cardio,27.1,3.6,3.0,1.0,24.144181115556925
18.0,Female,72.5,1.79,173.0,140.0,67.0,1.34,1629.0,Strength,27.3,2.7,5.0,1.0,22.627258824630943
44.0,Female,68.0,1.66,182.0,146.0,68.0,0.82,1278.0,HIIT,20.7,3.0,5.0,1.0,24.677021338365517
21.0,Female,121.13749999999999,1.78,182.0,151.0,50.0,1.81,1242.0,Yoga,21.0,3.5,4.0,2.0,38.2330198207297
44.0,Male,55.1,1.9,196.0,165.0,55.0,1.26,901.0,nan,26.9,2.6,3.0,1.0,15.263157894736842
58.0,Female,51.2,1.72,165.0,139.0,70.0,0.79,1612.0,Yoga,20.6,2.1,3.0,3.0,17.306652244456465
35.0,Female,60.8,1.64,161.0,127.0,74.0,1.57,1132.0,Yoga,20.7,3.7,3.0,3.0,22.60559190957764
18.0,Male,49.8,1.96,199.0,162.0,74.0,1.64,996.0,Strength,24.3,2.3,4.0,2.0,12.963348604748022
26.0,Female,64.7,1.75,172.0,157.0,52.0,1.35,1193.0,Yoga,23.5,1.6,3.0,2.0,21.1265306122449
24.0,Female,58.5,1.87,183.0,128.0,74.0,1.36,1034.0,HIIT,24.8,3.3,4.0,1.0,16.7291029197289
31.0,Female,49.1,1.7,162.0,167.0,63.0,1.1,891.0,Strength,23.5,2.9,3.0,1.0,16.989619377162633
39.0,Female,67.8,1.59,164.0,158.0,74.0,1.65,1374.0,Strength,25.9,2.6,5.0,2.0,26.81855939242909
22.0,Male,43.3,1.69,176.0,158.0,53.0,1.31,500.0,nan,23.7,1.5,2.0,2.0,15.16053359476209
44.0,Female,40.8,1.74,177.0,165.0,72.0,1.37,384.0,HIIT,10.0,2.8,3.0,1.0,13.11
18.0,Male,71.5,1.69,186.0,124.0,60.0,1.53,763.0,Yoga,16.9,2.5,2.0,1.0,25.034137460172968
50.0,Male,41.1,1.51,169.0,152.0,63.0,2.0,1069.0,Strength,24.9,1.5,4.0,2.0,18.025525196263324
27.0,Male,52.3,1.6,177.0,124.0,66.0,0.93,416.0,Strength,22.5,2.8,5.0,2.0,20.4296875
28.0,Male,73.2,1.76,171.0,159.0,61.0,1.21,973.0,HIIT,26.4,2.0,4.0,1.0,23.63119834710744
41.0,Female,117.7,1.67,189.0,123.0,58.0,2.0,1243.0,Yoga,26.2,3.2,2.0,1.0,42.20301911147765
31.0,Male,63.8,1.74,199.0,140.0,55.0,1.5,741.0,HIIT,28.1,1.6,3.0,2.0,21.0727969348659
31.0,Male,62.1,1.71,172.0,169.0,55.0,1.52,854.0,HIIT,27.4,3.7,3.0,3.0,21.23730378578024
18.0,Male,52.0,1.66,199.0,137.0,74.0,2.0,1314.0,Cardio,26.7,3.3,3.0,1.0,18.87066337639716
25.0,Female,73.3,1.5,185.0,169.0,67.0,1.38,433.0,Strength,30.6,1.5,4.0,1.0,32.577777777777776
18.0,Male,50.0,1.83,163.0,140.0,64.0,1.41,969.0,Yoga,19.0,1.9,3.0,2.0,14.29
34.0,Male,90.0,1.74,194.0,167.0,57.0,1.36,764.0,Cardio,25.0,2.6,4.0,2.0,29.72651605231867
39.0,Male,109.6,1.84,199.0,152.0,74.0,1.27,790.0,HIIT,26.7,3.5,2.0,2.0,32.37240075614366
18.0,Male,43.5,1.77,161.0,136.0,57.0,2.0,452.0,Cardio,24.4,3.3,5.0,1.0,13.884898975390213
20.0,Male,115.4,1.73,187.0,154.0,63.0,1.12,878.0,Yoga,30.7,3.5,3.0,1.0,38.557920411640886
22.0,Male,47.4,1.91,161.0,164.0,73.0,2.0,1206.0,Cardio,26.6,3.5,5.0,3.0,12.993064883089827
18.0,Male,54.6,1.66,189.0,142.0,64.0,1.19,523.0,HIIT,34.7,2.6,2.0,1.0,18.88
36.0,Male,40.0,2.0,193.0,121.0,65.0,1.98,1282.0,Yoga,25.7,2.6,4.0,1.0,10.0
26.0,Female,71.2,2.0,169.0,159.0,52.0,1.42,749.0,Strength,29.8,3.5,4.0,2.0,17.8
53.0,Female,46.4,1.7,169.0,120.0,72.0,1.49,1415.0,Yoga,21.9,3.4,4.0,2.0,16.05536332179931
18.0,Female,69.9,1.78,160.0,143.0,74.0,2.0,930.0,HIIT,19.6,2.0,3.0,3.0,22.06160838277995
20.0,Male,64.9,1.69,187.0,128.0,54.0,0.68,1303.0,Cardio,10.0,3.3,4.0,3.0,22.723294002310848
43.0,Female,47.6,1.65,198.0,140.0,61.0,2.0,692.0,Cardio,22.0,3.5,3.0,2.0,17.483930211202942
23.0,Male,48.9,1.7,168.0,156.0,65.0,1.4,1776.0,Yoga,32.5,2.1,3.0,2.0,16.920415224913498
38.0,nan,78.6,1.98,194.0,136.0,69.0,1.3,1590.0,Strength,27.2,2.3,4.0,2.0,20.04897459442914
51.0,Female,72.2,1.91,184.0,140.0,70.0,1.39,960.0,HIIT,21.0,1.5,3.0,2.0,19.791124146816152
54.0,Female,79.8,1.94,163.0,120.0,63.0,1.53,827.0,Yoga,25.3,3.3,4.0,2.0,21.203103411627165
22.0,Male,62.8,1.71,182.0,153.0,70.0,2.0,816.0,Yoga,15.8,2.8,3.0,2.0,21.476693683526555
26.0,Female,121.13749999999999,1.73,191.0,151.0,72.0,1.14,524.0,Strength,24.3,1.5,2.0,3.0,40.47495739917805
23.0,Female,52.4,1.86,166.0,130.0,59.0,1.53,880.0,Yoga,21.6,1.5,4.0,2.0,15.146259683200368
42.0,nan,67.7,1.82,199.0,125.0,55.0,0.76,1239.0,Cardio,15.0,3.4,2.0,2.0,20.43835285593527
34.0,Female,88.8,1.56,198.0,160.0,53.0,1.18,1086.0,Cardio,32.6,3.4,4.0,2.0,36.489151873767256
29.0,Female,101.5,1.9,175.0,165.0,74.0,1.46,1128.0,Yoga,26.3,2.7,2.0,1.0,28.11634349030471
18.0,Male,40.0,1.72,195.0,137.0,52.0,2.0,1783.0,Cardio,18.6,1.5,4.0,1.0,12.77
24.0,Male,40.0,2.0,173.0,126.0,50.0,1.1,1783.0,Cardio,31.9,1.6,3.0,1.0,10.0
33.0,Male,50.5,1.76,192.0,156.0,72.0,1.25,768.0,Cardio,12.8,1.7,4.0,2.0,16.06
41.0,Female,66.2,1.83,196.0,126.0,74.0,1.6,993.0,Yoga,20.2,2.5,5.0,1.0,19.767684911463466
37.0,Female,77.5,1.5,175.0,142.0,70.0,1.58,1141.0,Yoga,21.2,1.8,3.0,2.0,34.44444444444444
30.0,Female,119.6,1.72,191.0,150.0,74.0,1.77,1006.0,Yoga,13.1,2.2,4.0,3.0,40.427257977285024
38.0,Male,40.0,1.5,172.0,169.0,59.0,1.52,1107.0,HIIT,24.9,2.8,3.0,1.0,17.77777777777778
18.0,Male,82.3,1.74,198.0,155.0,55.0,1.38,1368.0,Strength,26.0,3.3,2.0,3.0,27.183247456731404
54.0,Male,71.2,1.7,190.0,120.0,58.0,1.21,708.0,nan,14.4,3.1,4.0,2.0,24.63667820069205
34.0,Male,53.0,1.92,199.0,134.0,68.0,1.12,790.0,Strength,19.8,3.5,4.0,3.0,14.37717013888889
56.0,Female,45.7,1.96,192.0,153.0,71.0,2.0,868.0,Yoga,11.4,2.0,4.0,2.0,11.896084964598083
18.0,Female,79.6,1.75,168.0,125.0,54.0,1.26,682.0,HIIT,25.1,2.4,3.0,2.0,25.99183673469388
42.0,Female,105.3,1.67,175.0,143.0,74.0,1.1,1115.0,Strength,25.4,3.3,3.0,1.0,37.75682168596938
31.0,Male,84.5,1.56,194.0,124.0,70.0,1.31,734.0,Strength,23.6,3.3,2.0,2.0,34.72222222222222
50.0,Male,98.6,1.54,187.0,126.0,57.0,0.72,940.0,Strength,23.5,1.6,3.0,1.0,41.57530780907404
27.0,Male,55.4,1.72,186.0,153.0,74.0,2.0,1281.0,\nStrength,10.9,2.4,4.0,2.0,18.726338561384534
41.0,Female,40.0,1.77,168.0,154.0,74.0,1.14,628.0,HIIT,19.9,3.4,5.0,1.0,12.767723195761114
26.0,Female,63.9,1.75,199.0,121.0,72.0,2.0,638.0,HIIT,23.6,3.4,4.0,2.0,20.865306122448978
47.0,Male,40.0,1.91,185.0,146.0,74.0,1.41,608.0,Cardio,24.3,2.9,3.0,1.0,10.96461171568762
31.0,Female,40.0,2.0,192.0,134.0,55.0,1.44,1116.0,Strength,12.0,2.6,2.0,2.0,10.0
27.0,Male,91.9,1.5,185.0,154.0,60.0,1.08,825.0,HIIT,28.8,3.2,5.0,2.0,40.84444444444445
20.0,Female,42.4,1.69,198.0,129.0,58.0,0.77,1030.0,HIIT,28.1,1.5,3.0,1.0,14.845418577780892
21.0,Male,76.8,1.52,191.0,140.0,66.0,1.08,702.0,Cardio,21.0,3.6,3.0,2.0,33.24099722991689
47.0,Female,70.7,1.66,195.0,169.0,60.0,1.25,1033.0,\tYoga,16.7,3.5,4.0,2.0,25.656844244447672
33.0,Male,40.0,1.88,196.0,162.0,58.0,1.59,1131.0,Yoga,30.4,2.6,3.0,1.0,11.317338162064283
59.0,Male,40.0,1.56,163.0,167.0,74.0,1.59,722.0,Cardio,23.7,3.2,4.0,3.0,16.43655489809336
43.0,Male,46.8,1.67,178.0,141.0,64.0,1.03,1403.0,Cardio,26.1,3.2,3.0,1.0,16.780809638208613
27.0,Male,100.7,1.75,163.0,166.0,61.0,1.28,1159.0,Cardio,28.1,3.7,3.0,1.0,32.881632653061224
44.0,Female,73.4,1.59,199.0,152.0,72.0,0.94,721.0,Cardio,23.0,2.2,4.0,1.0,29.033661643131204
22.0,Male,63.4,1.83,196.0,169.0,71.0,1.66,466.0,Cardio,28.0,3.4,2.0,3.0,18.931589477141745
19.0,Female,121.13749999999999,1.71,161.0,169.0,56.0,2.0,443.0,Yoga,29.6,2.4,4.0,2.0,41.42727676892035
24.0,Female,48.3,1.73,193.0,136.0,62.0,1.98,1404.0,Strength,22.0,3.5,3.0,1.0,16.13819372514952
45.0,Female,80.5,1.89,183.0,134.0,74.0,1.02,1311.0,HIIT,24.6,1.9,4.0,1.0,22.535763276504017
35.0,Female,42.9,1.51,163.0,131.0,74.0,2.0,526.0,Cardio,15.3,3.3,5.0,2.0,18.814964255953686
18.0,Male,74.6,1.88,177.0,166.0,53.0,2.0,1010.0,Cardio,18.0,2.2,5.0,1.0,21.10683567224989
21.0,Male,66.7,1.93,175.0,166.0,63.0,1.26,949.0,Yoga,27.8,3.4,2.0,2.0,17.906520980429008
31.0,Female,55.0,1.6,172.0,164.0,53.0,1.85,1361.0,Strength,20.6,3.4,4.0,1.0,21.484375
27.0,Female,52.3,1.77,193.0,130.0,57.0,2.0,993.0,Yoga,25.6,2.8,4.0,1.0,16.693798078457657
46.0,Male,65.7,1.75,192.0,135.0,59.0,1.31,881.0,Strength,10.0,2.7,2.0,1.0,21.4530612244898
53.0,Female,84.7,1.61,193.0,158.0,72.0,2.0,478.0,Yoga,25.6,2.4,3.0,1.0,32.67620847961113
18.0,nan,80.4,1.97,172.0,137.0,74.0,1.62,617.0,Strength,22.4,3.4,3.0,1.0,20.716844031023733
18.0,Female,63.4,1.85,191.0,148.0,69.0,0.89,1106.0,Strength,21.4,2.3,5.0,3.0,18.524470416362306
48.0,Female,61.8,1.71,172.0,140.0,62.0,1.37,1266.0,Cardio,28.6,3.6,4.0,1.0,21.134708115317533
53.0,nan,64.4,1.58,198.0,158.0,74.0,1.82,1144.0,Yoga,27.2,3.0,2.0,1.0,25.797147892965867
25.0,Male,44.2,1.9,174.0,159.0,50.0,1.1,1293.0,Yoga,25.7,2.5,4.0,2.0,12.243767313019392
18.0,Female,43.1,1.75,183.0,138.0,53.0,1.95,437.0,Cardio,19.1,3.6,2.0,2.0,14.073469387755102
18.0,Male,92.1,1.59,171.0,150.0,54.0,1.17,968.0,Yoga,21.8,2.4,5.0,2.0,36.43052094458288
31.0,Male,58.7,1.66,183.0,149.0,74.0,1.15,1368.0,Cardio,23.1,2.3,4.0,1.0,21.302075772971406
44.0,Female,59.4,1.67,197.0,164.0,53.0,1.31,676.0,Cardio,24.8,2.8,3.0,2.0,21.298719925418624
59.0,Female,44.5,1.84,183.0,154.0,71.0,1.28,787.0,Cardio,26.5,1.7,2.0,2.0,13.14390359168242
44.0,Female,84.8,2.0,196.0,155.0,70.0,1.66,1439.0,HIIT,12.1,1.7,2.0,1.0,21.2
57.0,Female,80.0,1.79,167.0,127.0,54.0,1.01,312.0,Yoga,24.3,2.6,4.0,2.0,24.9680097375238
20.0,Male,87.1,1.91,186.0,150.0,51.0,1.39,1431.0,Yoga,27.0,2.8,3.0,3.0,23.875442010909783
27.0,Male,56.4,1.76,198.0,129.0,71.0,1.79,488.0,HIIT,22.9,3.3,4.0,1.0,17.49
32.0,Male,58.4,2.0,179.0,139.0,60.0,1.21,1379.0,Strength,23.3,3.2,4.0,2.0,14.6
42.0,Female,68.5,1.75,187.0,167.0,54.0,1.3,708.0,Cardio,15.4,1.6,4.0,1.0,22.367346938775512
48.0,Female,77.7,1.76,181.0,156.0,53.0,2.0,1153.0,Cardio,28.4,2.4,3.0,1.0,25.3
55.0,Female,67.1,1.58,199.0,122.0,71.0,1.86,960.0,Strength,21.7,1.5,4.0,2.0,26.878705335683374
31.0,Female,55.7,1.8,168.0,167.0,64.0,1.53,600.0,HIIT,34.4,2.8,4.0,3.0,17.191358024691358
39.0,Female,63.2,1.74,181.0,157.0,54.0,1.62,900.0,Strength,13.9,2.1,5.0,1.0,20.874620161183778
40.0,Female,64.6,1.55,198.0,133.0,74.0,1.39,303.0,Strength,21.4,1.5,2.0,2.0,26.888657648283036
35.0,Male,55.0,1.73,172.0,149.0,62.0,1.43,1423.0,Strength,30.0,3.5,3.0,2.0,18.376825152861773
36.0,Female,71.9,1.66,177.0,146.0,73.0,0.96,556.0,Yoga,23.3,3.2,2.0,2.0,26.092321091595306
26.0,Female,56.7,1.73,168.0,144.0,71.0,0.68,1129.0,Strength,25.5,3.4,3.0,1.0,19.65
48.0,Male,56.0,1.7,164.0,132.0,50.0,2.0,1148.0,HIIT,26.6,3.1,2.0,2.0,19.44
54.0,Female,74.9,1.69,195.0,153.0,62.0,1.1,1389.0,Yoga,14.4,3.1,3.0,1.0,26.224571968768604
55.0,Female,65.3,1.68,164.0,156.0,67.0,1.59,851.0,Cardio,33.1,2.8,3.0,2.0,23.136337868480727
18.0,Female,43.0,1.95,163.0,164.0,68.0,2.0,1349.0,Strength,18.5,3.2,2.0,2.0,11.308349769888231
59.0,Male,70.2,1.77,172.0,124.0,68.0,1.47,1069.0,Cardio,21.4,3.5,4.0,1.0,22.40735420856076
23.0,Male,96.5,1.8,187.0,155.0,68.0,0.92,1465.0,Yoga,29.3,3.2,3.0,1.0,29.78395061728395
30.0,Male,56.6,2.0,184.0,125.0,52.0,1.29,918.0,Cardio,28.9,3.3,2.0,1.0,14.15
38.0,Female,40.0,1.88,164.0,154.0,70.0,1.63,1109.0,Yoga,20.7,1.7,2.0,2.0,11.317338162064283
18.0,Male,101.2,1.59,198.0,122.0,58.0,1.08,1030.0,Strength,28.6,3.1,4.0,2.0,40.03006210197381
48.0,Female,81.9,1.8,180.0,165.0,67.0,1.25,1410.0,Cardio,24.0,3.5,4.0,2.0,25.27777777777778
47.0,Male,121.13749999999999,1.61,164.0,155.0,74.0,0.94,934.0,Strength,24.7,2.5,2.0,1.0,46.73334362100227
21.0,Female,70.5,1.84,173.0,127.0,66.0,0.97,1013.0,Cardio,26.7,1.6,5.0,3.0,20.823487712665404
23.0,Female,70.5,1.65,192.0,162.0,50.0,0.63,1186.0,Cardio,27.1,2.6,2.0,2.0,25.89531680440772
46.0,Male,54.8,1.69,194.0,148.0,74.0,0.52,846.0,Yoga,16.5,3.5,3.0,3.0,19.18700325618851
42.0,Male,72.0,1.9,184.0,147.0,67.0,1.48,1047.0,Yoga,15.6,3.4,3.0,1.0,19.94459833795014
29.0,Male,56.3,1.81,189.0,166.0,65.0,1.39,1066.0,Strength,14.3,2.9,3.0,1.0,17.18506761087879
18.0,Male,46.5,1.54,198.0,169.0,55.0,1.37,1060.0,Cardio,28.9,3.1,5.0,1.0,19.607016360263117
47.0,Female,51.4,1.88,176.0,125.0,58.0,0.88,1133.0,Yoga,24.0,3.3,3.0,3.0,14.3
43.0,Male,42.6,1.62,189.0,169.0,74.0,1.0,1213.0,Strength,13.6,3.5,2.0,2.0,16.232281664380427
18.0,Male,73.0,1.78,161.0,131.0,50.0,2.0,1319.0,Strength,26.1,1.5,5.0,1.0,23.04002019946976
